K:2 N:2 S:4
K:2 N:2 S:4
K:2 N:3 S:6
K:2 N:3 S:6
K:2 N:4 S:10
K:2 N:4 S:10
K:2 N:5 S:14
K:2 N:5 S:14
K:2 N:6 S:20
K:2 N:6 S:20
K:2 N:7 S:26
K:2 N:8 S:36
K:2 N:8 S:36
K:2 N:7 S:26
K:2 N:9 S:46
K:2 N:10 S:60
K:2 N:9 S:46
K:2 N:10 S:60
K:2 N:13 S:114
K:2 N:15 S:166
K:2 N:11 S:74
K:2 N:11 S:74
K:2 N:14 S:140
K:2 N:15 S:166
K:2 N:14 S:140
K:2 N:12 S:94
K:2 N:13 S:114
K:2 N:12 S:94
K:2 N:16 S:202
K:2 N:16 S:202
K:2 N:17 S:238
K:2 N:17 S:238
K:2 N:19 S:330
K:2 N:20 S:390
K:2 N:18 S:284
K:2 N:18 S:284
K:2 N:21 S:450
K:2 N:22 S:524
K:2 N:19 S:330
K:2 N:22 S:524
K:2 N:21 S:450
K:2 N:23 S:598
K:2 N:24 S:692
K:2 N:23 S:598
K:2 N:27 S:1014
K:2 N:24 S:692
K:2 N:26 S:900
K:2 N:20 S:390
K:2 N:27 S:1014
K:2 N:28 S:1154
K:2 N:25 S:786
K:2 N:25 S:786
K:2 N:26 S:900
K:2 N:29 S:1294
K:2 N:28 S:1154
K:2 N:30 S:1460
K:2 N:29 S:1294
K:2 N:32 S:1828
K:2 N:31 S:1626
K:2 N:31 S:1626
K:2 N:32 S:1828
K:2 N:33 S:2030
K:2 N:33 S:2030
K:2 N:34 S:2268
K:2 N:30 S:1460
K:2 N:34 S:2268
K:2 N:35 S:2506
K:2 N:35 S:2506
K:2 N:36 S:2790
K:2 N:37 S:3074
K:2 N:37 S:3074
K:2 N:36 S:2790
K:2 N:38 S:3404
K:2 N:39 S:3734
K:2 N:39 S:3734
K:2 N:40 S:4124
K:2 N:41 S:4514
K:2 N:42 S:4964
K:2 N:41 S:4514
K:2 N:43 S:5414
K:2 N:44 S:5938
K:2 N:43 S:5414
K:2 N:45 S:6462
K:2 N:46 S:7060
K:2 N:38 S:3404
K:2 N:40 S:4124
K:2 N:46 S:7060
K:2 N:44 S:5938
K:2 N:47 S:7658
